home_id,sale_contract_date,community_name,sale_type,total_sale_price,sqft
HS-FVE-000247,2025-03-12,Fairview Estates,spec,388737.0,2068
HS-FVE-000115,2024-06-06,Fairview Estates,spec,372636.0,2152
HS-GLN-000108,2024-05-27,Glenview Meadows,spec,541610.0,3116
HS-FVE-000319,2025-08-28,Fairview Estates,spec,314469.0,2273
HS-RIV-000169,2024-10-04,Riverbend Townhomes,build,331726.0,1460
HS-RIV-000283,2025-05-11,Riverbend Townhomes,spec,362768.0,1701
HS-GLN-000300,2025-06-13,Glenview Meadows,spec,485099.0,2296
HS-CCR-000224,2025-01-04,Cedar Creek,spec,412069.0,1849
HS-RIV-000293,2025-06-04,Riverbend Townhomes,spec,305736.0,1605
HS-RIV-000008,2023-11-26,Riverbend Townhomes,spec,348731.0,1536
HS-FVE-000132,2024-07-06,Fairview Estates,model,393612.0,2360
HS-RIV-000267,2025-04-24,Riverbend Townhomes,spec,402651.0,1625
HS-RIV-000324,2025-08-16,Riverbend Townhomes,build,385635.0,1893
HS-GLN-000175,2024-10-10,Glenview Meadows,build,518807.0,2700
HS-GLN-000206,2024-12-13,Glenview Meadows,spec,512307.0,2450
HS-RIV-000103,2024-05-05,Riverbend Townhomes,spec,371813.0,1927
HS-FVE-000365,2025-11-17,FairviewEstates,build,448204.0,1996
HS-RIV-000086,2024-04-07,Riverbend Townhomes,spec,322774.0,1381
HS-FVE-000321,2025-08-31,Fairview Estates,spec,421462.0,2573
HS-RIV-000385,2025-12-29,Riverbend Townhomes,spec,370362.0,1239
HS-FVE-000127,2024-07-30,Fairview Estates,spec,396857.0,2064
HS-RIV-000383,2025-12-09,Riverbend Townhomes,spec,321780.0,1943
HS-GLN-000069,2024-03-29,Glenview Meadows,spec,510893.0,2776
HS-RIV-000354,2025-10-08,Riverbend Townhomes,spec,333729.0,1497
HS-FVE-000379,2025-12-07,Fairview Estates,spec,461479.0,1977
HS-GLN-000241,2025-02-18,Glenview Meadows,spec,467421.0,2611
HS-GLN-000374,2025-11-30,Glenview Meadows,build,347723.0,2552
HS-CCR-000194,2024-11-18,Cedar Creek,spec,419560.0,2198
HS-FVE-000044,2024-02-06,Fairview Estates,model,466420.0,2193
HS-CCR-000140,2024-07-13,Cedar Creek,build,367465.0,2477
HS-FVE-000291,2025-06-09,Fairview Estates,build,387624.0,2319
HS-GLN-000039,2024-01-27,Glenview Meadows,spec,577889.0,2281
HS-RIV-000136,2024-07-01,Riverbend Townhomes,spec,411696.0,1541
HS-CCR-000338,2025-09-24,Cedar Creek,spec,390451.0,1864
HS-GLN-000327,2025-08-27,Glenview Meadows,spec,552488.0,2828
HS-GLN-000072,2024-03-08,Glenview Meadows,spec,452503.0,2985
HS-FVE-000143,07-08-2024,Fairview Estates,build,469053.0,2380
HS-FVE-000157,2024-09-25,Fairview Estates,build,427381.0,2402
HS-RIV-000167,2024-10-01,Riverbend Townhomes,build,365859.0,1762
HS-FVE-000342,2025-10-18,Fairview Estates,spec,427077.0,1933
HS-GLN-000253,2025-03-10,Glenview Meadows,model,466707.0,2191
HS-GLN-000162,2024-9-19,Glenview Meadows,spec,513109.0,2647
HS-FVE-000183,2024-11-27,Fairview Estates,spec,392024.0,2858
HS-FVE-000213,2025-01-16,Fairview Estates,build,290768.0,1982
HS-RIV-000281,2025-05-16,Riverbend Townhomes,build,409859.0,1781
HS-FVE-000010,2023-12-10,Fairview Estates,build,459539.0,2243
HS-RIV-000266,2025-04-12,Riverbend Townhomes,spec,367490.0,1712
HS-RIV-000017,2023-12-08,Riverbend Townhomes,spec,278667.0,1843
HS-CCR-000376,2025-11-24,Cedar Creek,spec,346063.0,1777
HS-FVE-000274,2025-05-06,Fairview Estates,build,415432.0,2388
HS-FVE-000031,2024-01-01,Fairview Estates,spec,428612.0,1908
HS-GLN-000209,2024-12-20,Glenview Meadows,model,497596.0,2248
HS-FVE-000077,2024-04-13,Fairview Estates,build,442967.0,2167
HS-FVE-000164,2024-10-17,Fairview Estates,spec,382899.0,50
HS-RIV-000222,2025-01-28,Riverbend Townhomes,spec,333364.0,1684
HS-RIV-000088,2024-04-13,Riverbend Townhomes,spec,323522.0,1207
HS-FVE-000126,2024-07-22,Fairview Estates,spec,421750.0,1631
HS-FVE-000084,2024-04-10,Fairview Estates,spec,366734.0,2220
HS-FVE-000348,2025-10-30,Fairview Estates,build,463503.0,1997
HS-RIV-000187,2024-11-29,Riverbend Townhomes,build,293261.0,1578
HS-RIV-000315,2025-07-07,Riverbend Townhomes,spec,334751.0,1514
HS-FVE-000308,2025-07-25,Fairview Estates,build,420537.0,2101
HS-FVE-000280,2025-05-14,FairviewEstates,spec,454896.0,2215
HS-RIV-000282,2025-05-16,Riverbend Townhomes,spec,365647.0,1826
HS-FVE-000270,2025-05-19,Fairview Estates,build,450238.0,2448
HS-FVE-000180,2024-11-17,Fairview Estates,spec,445345.0,1608
HS-GLN-000326,2025-08-20,Glenview Meadows,spec,443631.0,3004
HS-FVE-000079,2024-04-03,Fairview Estates,build,372374.0,2267
HS-FVE-000226,2025-02-07,Fairview Estates,spec,412033.0,2482
HS-RIV-000034,2024-01-29,Riverbend Townhomes,build,307097.0,1527
HS-FVE-000364,2025-11-30,Fairview Estates,build,461134.0,2062
HS-RIV-000089,2024-04-25,Riverbend Townhomes,build,346723.0,1652
HS-GLN-000251,2025-03-19,Glenview Meadows,build,621036.0,2462
HS-FVE-000279,2025-05-11,Fairview Estates,build,473587.0,2583
HS-GLN-000389,2025-12-24,Glenview Meadows,build,501852.0,2356
HS-GLN-000206,2024-12-13,Glenview Meadows,spec,512307.0,2450
HS-RIV-000284,2025-05-25,Riverbend Townhomes,build,303481.0,1563
HS-RIV-000351,2025-10-13,Riverbend Townhomes,spec,364103.0,1803
HS-FVE-000287,2025-06-07,Fairview Estates,spec,407328.0,2332
HS-GLN-000358,2025-10-25,Glenview Meadows,model,433009.0,2268
HS-FVE-000176,2024-11-29,Fairview Estates,spec,364816.0,2338
HS-RIV-000170,2024-10-23,Riverbend Townhomes,build,349784.0,1425
HS-RIV-000317,2025-07-02,Riverbend Townhomes,spec,413946.0,1596
HS-RIV-000264,2025-04-26,Riverbend Townhomes,spec,336073.0,1464
HS-FVE-000245,2025-03-15,Fairview Estates,build,482696.0,2249
HS-FVE-000290,2025-06-13,Fairview Estates,build,431954.0,2210
HS-RIV-000172,2024-10-11,Riverbend Townhomes,spec,379473.0,1334
